     Flute2  Id            ;Mode ; DielNE ; DielNW ; DielSW  ;  LineW_Pstop ;  ;LineW_Strip ;  ; RPoly ; GCD I_surf   ;  GCD S_0   ; GCD Vfb_Acc_Dep
                           ;     ;   [V]    ; [V]    ; [V]     ;  [um]        ;  ;[um]        ;   ;[MOhm] ;   [pA]       ;  [cm/sec]  ;    [V]      
                           ;     ;        ;        ;         ; stad    ; rot     ; stad  ;    rot ;   ;       ;              ;            ; 
     Spec Limit            ;     ;>150    ;>150    ; >150    ;         ;       ;        ;      ;       ;              ;            ;  
VPX37401_005_2-S_HM_E_Left;Quick;200;200;200;49.7451;49.0332;33.6589;34.0742;1.45203;5.01333;1.05388;-2.46246
VPX37401_005_2-S_HM_W_Left;Quick;200;200;200;46.5885;47.2091;33.5565;33.6522;1.44021;4.84733;1.03676;-2.50751
VPX37401_014_2-S_HM_E_Left;Quick;200;200;200;49.2273;49.1689;33.6612;33.6826;1.42641;4.84147;1.05359;-2.46246
VPX37401_014_2-S_HM_W_Left;Quick;200;200;200;46.9436;47.2052;33.7147;33.7541;1.43831;4.8185;1.04859;-2.56757
VPX37401_028_2-S_HM_E_Left;Quick;200;200;200;49.4301;49.4004;33.7913;33.6868;1.43701;4.62533;0.955672;-2.35736
VPX37401_028_2-S_HM_W_Left;Quick;200;200;200;47.6214;47.7554;33.6539;33.7281;1.44212;4.60387;0.911133;-2.47748
VPX37401_035_2-S_HM_E_Left;Quick;200;200;200;49.9245;50.173;34.0179;33.7092;1.44898;4.784;0.914804;-2.35736
VPX37401_035_2-S_HM_W_Left;Quick;200;200;200;48.9207;48.415;33.5757;33.5824;1.46283;4.80347;0.926443;-2.46246
