     Flute2  Id            ;Mode ; DielNE ; DielNW ; DielSW  ;  LineW_Pstop ;  ;LineW_Strip ;  ; RPoly ; GCD I_surf   ;  GCD S_0   ; GCD Vfb_Acc_Dep
                           ;     ;   [V]    ; [V]    ; [V]     ;  [um]        ;  ;[um]        ;   ;[MOhm] ;   [pA]       ;  [cm/sec]  ;    [V]      
                           ;     ;        ;        ;         ; stad    ; rot     ; stad  ;    rot ;   ;       ;              ;            ; 
     Spec Limit            ;     ;>150    ;>150    ; >150    ;         ;       ;        ;      ;       ;              ;            ;  
VPX37897_001_2-S_HM_E_Left;Quick;200;200;200;49.1726;49.0381;33.953;34.1923;1.54012;5.14153;1.18899;-2.76276
VPX37897_001_2-S_HM_W_Left;Quick;200;200;200;48.8388;48.8087;33.7767;33.8342;1.50753;4.651;1.17367;-2.85285
VPX37897_012_2-S_HM_E_Left;Quick;200;200;200;48.2409;48.6576;34.1067;34.0278;1.54398;4.8772;1.2094;-2.80781
VPX37897_012_2-S_HM_W_Left;Quick;200;200;200;47.8989;48.0637;33.8763;33.8407;1.49514;4.84127;1.16942;-2.86787
VPX37897_026_2-S_HM_E_Left;Quick;200;200;200;47.7242;47.9019;33.8051;33.624;1.49709;4.35307;1.06072;-2.56757
VPX37897_026_2-S_HM_W_Left;Quick;200;200;200;49.0917;48.9943;33.1111;33.1255;1.49818;4.256;1.0015;-2.65766
VPX37897_039_2-S_HM_E_Left;Quick;200;200;200;49.4915;49.6077;34.3211;33.9965;1.52089;4.66373;1.0785;-2.62763
VPX37897_039_2-S_HM_W_Left;Quick;200;200;200;48.6101;48.8076;33.9884;33.3983;1.48256;4.6736;1.07142;-2.7027
