     Flute2  Id            ;Mode ; DielNE ; DielNW ; DielSW  ;  LineW_Pstop ;  ;LineW_Strip ;  ; RPoly ; GCD I_surf   ;  GCD S_0   ; GCD Vfb_Acc_Dep
                           ;     ;   [V]    ; [V]    ; [V]     ;  [um]        ;  ;[um]        ;   ;[MOhm] ;   [pA]       ;  [cm/sec]  ;    [V]      
                           ;     ;        ;        ;         ; stad    ; rot     ; stad  ;    rot ;   ;       ;              ;            ; 
     Spec Limit            ;     ;>150    ;>150    ; >150    ;         ;       ;        ;      ;       ;              ;            ;  
VPX37400_003_2-S_HM_E_Left;Quick;200;200;200;48.6703;49.0524;33.9712;33.912;1.42913;5.92903;1.12408;-2.8979
VPX37400_003_2-S_HM_W_Left;Quick;200;200;200;49.5579;49.495;34.0451;34.0614;1.45347;6.11563;1.13976;-3.003
VPX37400_015_2-S_HM_E_Left;Quick;200;200;200;47.8895;47.8873;33.8677;33.7946;1.46919;6.39527;1.18171;-2.92793
VPX37400_015_2-S_HM_W_Left;Quick;200;200;200;48.7367;48.5826;33.4596;33.5152;1.43541;6.43653;1.18934;-3.04805
VPX37400_027_2-S_HM_E_Left;Quick;200;200;200;46.2145;46.2212;33.8566;33.9015;1.50949;5.68113;1.04081;-2.61261
VPX37400_027_2-S_HM_W_Left;Quick;200;200;200;48.9283;48.8056;33.5755;33.6713;1.50354;5.15453;1.13148;-2.73273
VPX37400_037_2-S_HM_E_Left;Quick;200;200;200;47.6147;47.8437;33.9798;33.9523;1.47835;5.37393;1.11035;-2.74775
VPX37400_037_2-S_HM_W_Left;Quick;200;200;200;48.1602;47.5077;33.5284;33.5882;1.45911;5.41727;1.129;-2.86787
